yORF,gene name,GFP tagged,GFP visualized?,TAP visualized?,abundance,error,localization summary
YBL033C,RIB1,tagged,visualized,TAP visualized,9520,,"cytoplasm,nucleus"
YBL034C,STU1,tagged,visualized,TAP visualized,521,,"ambiguous,spindle pole"
YBL035C,POL12,tagged,visualized,TAP visualized,11200,1700.0,nucleus
YBL036C,,tagged,visualized,TAP visualized,4890,,"cytoplasm,nucleus"
YBL037W,APL3,tagged,visualized,TAP visualized,1590,,"bud neck,cell periphery"
YBL038W,MRPL16,tagged,visualized,TAP visualized,2880,,mitochondrion
YBL039C,URA7,tagged,visualized,TAP visualized,57600,,cytoplasm
YBL040C,ERD2,tagged,visualized,TAP visualized,low signal,,ER
YBL042C,FUI1,tagged,visualized,TAP visualized,low signal,,"cell periphery,bud"
YBL045C,COR1,tagged,visualized,TAP visualized,19300,,mitochondrion
YBL046W,,tagged,visualized,TAP visualized,1010,,nucleus
YBL047C,EDE1,tagged,visualized,TAP visualized,1380,,punctate composite
YBL051C,PIN4,tagged,visualized,TAP visualized,4630,,cytoplasm
YBL052C,SAS3,tagged,visualized,TAP visualized,low signal,,nucleus
YBL054W,,tagged,visualized,TAP visualized,830,,"cytoplasm,nucleus"
YBL055C,,tagged,visualized,TAP visualized,1460,,cytoplasm
YBL056W,PTC3,tagged,visualized,TAP visualized,19700,,"cytoplasm,nucleus"
YBL057C,PTH2,tagged,visualized,TAP visualized,2190,,mitochondrion
YBL058W,SHP1,tagged,visualized,TAP visualized,3200,,"cytoplasm,nucleus"
YBL059C-A,,tagged,visualized,TAP visualized,279,,"cytoplasm,nucleus"
YBL059W,,tagged,visualized,TAP visualized,623,,mitochondrion
YBL060W,,tagged,visualized,TAP visualized,low signal,,"bud neck,cytoplasm"
YBL061C,SKT5,tagged,visualized,TAP visualized,2580,,"bud neck,cytoplasm,nucleus"
YBL063W,KIP1,tagged,visualized,TAP visualized,56.9,,microtubule
YBL064C,PRX1,tagged,visualized,TAP visualized,4510,,mitochondrion
YBL067C,UBP13,tagged,visualized,TAP visualized,125,,ambiguous
YBL068W,PRS4,tagged,visualized,TAP visualized,5280,,cytoplasm
YBL069W,AST1,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YBL071W-A,KTI11,tagged,visualized,TAP visualized,8400,,"cytoplasm,nucleus"
YBL072C,RPS8A,tagged,visualized,TAP visualized,15900,,cytoplasm
YBL074C,AAR2,tagged,visualized,TAP visualized,7330,500.0,"cytoplasm,nucleus"
YBL075C,SSA3,tagged,visualized,TAP visualized,6440,,cytoplasm
YBL076C,ILS1,tagged,visualized,TAP visualized,23300,,cytoplasm
YBL079W,NUP170,tagged,visualized,TAP visualized,1560,,nuclear periphery
YBL080C,PET112,tagged,visualized,TAP visualized,1390,,mitochondrion
YBL082C,RHK1,tagged,visualized,TAP visualized,technical problem,,"cytoplasm,vacuole"
YBL084C,CDC27,tagged,visualized,TAP visualized,593,88.0,"cytoplasm,nucleus"
YBL085W,BOI1,tagged,visualized,TAP visualized,1040,,"bud neck,cytoplasm,cell periphery,bud"
YBL086C,,tagged,visualized,TAP visualized,396,,cell periphery
YBL087C,RPL23A,tagged,visualized,not TAP visualized,not visualized,,nucleus
YBL090W,MRP21,tagged,visualized,TAP visualized,1270,,mitochondrion
YBL091C,MAP2,tagged,visualized,TAP visualized,1080,,"cytoplasm,nucleus"
YBL093C,ROX3,tagged,visualized,TAP visualized,6120,,nucleus
YBL095W,,tagged,visualized,TAP visualized,704,,mitochondrion
YBL097W,BRN1,tagged,visualized,TAP visualized,704,,nucleus
YBL098W,BNA4,tagged,visualized,TAP visualized,556,,mitochondrion
YBL099W,ATP1,tagged,visualized,TAP visualized,41500,,mitochondrion
YBL101C,ECM21,tagged,visualized,TAP visualized,799,,cytoplasm
YBL102W,SFT2,tagged,visualized,TAP visualized,279,,early Golgi
YBL103C,RTG3,tagged,visualized,TAP visualized,1050,,"cytoplasm,nucleus"
YBL104C,,tagged,visualized,TAP visualized,184,,cytoplasm
YBL105C,PKC1,tagged,visualized,not TAP visualized,not visualized,,"ambiguous,bud neck,cytoplasm,bud"
YBL107C,,tagged,visualized,TAP visualized,768,,cytoplasm
YBL111C,,tagged,visualized,TAP visualized,279,,ambiguous
YBR001C,NTH2,tagged,visualized,TAP visualized,2500,,"cytoplasm,mitochondrion"
YBR002C,RER2,tagged,visualized,TAP visualized,8970,,ER
YBR003W,COQ1,tagged,visualized,TAP visualized,1560,,mitochondrion
YBR005W,,tagged,visualized,not TAP visualized,not visualized,,ambiguous
YBR006W,UGA2,tagged,visualized,TAP visualized,low signal,,cytoplasm
YBR007C,,tagged,visualized,TAP visualized,377,,ambiguous
YBR008C,FLR1,tagged,visualized,not TAP visualized,not visualized,,"cell periphery,vacuole"
YBR009C,HHF1,tagged,visualized,TAP visualized,524000,,nucleus
YBR010W,HHT1,tagged,visualized,TAP visualized,213000,,nucleus
YBR011C,IPP1,tagged,visualized,TAP visualized,68400,,"cytoplasm,nucleus"
YBR014C,,tagged,visualized,not TAP visualized,not visualized,,vacuole
YBR015C,MNN2,tagged,visualized,TAP visualized,6730,,Golgi
YBR016W,,tagged,visualized,TAP visualized,1760,,cell periphery
YBR017C,KAP104,tagged,visualized,TAP visualized,2130,,"cytoplasm,nucleus"
YBR023C,CHS3,tagged,visualized,TAP visualized,1510,,late Golgi
YBR025C,,tagged,visualized,TAP visualized,36800,,cytoplasm
YBR026C,ETR1,tagged,visualized,TAP visualized,1560,,mitochondrion
YBR028C,,tagged,visualized,TAP visualized,1470,,cytoplasm
YBR030W,,tagged,visualized,TAP visualized,7880,,nucleus
YBR031W,RPL4A,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YBR034C,HMT1,tagged,visualized,TAP visualized,37600,,"cytoplasm,nucleus"
YBR036C,CSG2,tagged,visualized,TAP visualized,technical problem,,"ER,vacuole"
YBR037C,SCO1,tagged,visualized,TAP visualized,2550,,mitochondrion
YBR039W,ATP3,tagged,visualized,TAP visualized,28100,,mitochondrion
YBR041W,FAT1,tagged,visualized,TAP visualized,16900,,lipid particle
YBR042C,,tagged,visualized,TAP visualized,2010,,lipid particle
YBR043C,AQR2,tagged,visualized,TAP visualized,279,,cell periphery
YBR046C,ZTA1,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YBR047W,,tagged,visualized,TAP visualized,2160,,mitochondrion
YBR048W,RPS11B,tagged,visualized,TAP visualized,1200,,cytoplasm
YBR049C,REB1,tagged,visualized,TAP visualized,7510,531.0,nucleus
YBR052C,,tagged,visualized,TAP visualized,7060,,punctate composite
YBR054W,YRO2,tagged,visualized,TAP visualized,1950,,"cell periphery,bud"
YBR055C,PRP6,tagged,visualized,TAP visualized,2250,295.0,"cytoplasm,nucleus"
YBR056W,,tagged,visualized,TAP visualized,1960,,cytoplasm
YBR057C,MUM2,tagged,visualized,TAP visualized,3400,,cytoplasm
YBR058C,UBP14,tagged,visualized,TAP visualized,3040,,"cytoplasm,nucleus"
YBR058C-A,TSC3,tagged,visualized,not TAP visualized,not visualized,,ER
YBR059C,AKL1,tagged,visualized,TAP visualized,3000,,"bud neck,cytoplasm,cell periphery"
YBR060C,ORC2,tagged,visualized,TAP visualized,1700,82.5,"cytoplasm,nucleus"
YBR061C,TRM7,tagged,visualized,TAP visualized,4110,,cytoplasm
YBR065C,ECM2,tagged,visualized,TAP visualized,4260,,nucleus
YBR066C,NRG2,tagged,visualized,TAP visualized,704,,"cytoplasm,nucleus"
YBR067C,TIP1,tagged,visualized,TAP visualized,35600,,ER
YBR068C,BAP2,tagged,visualized,TAP visualized,8660,,"cell periphery,vacuole"
YBR069C,TAT1,tagged,visualized,TAP visualized,504,,"cell periphery,bud"
YBR070C,,tagged,visualized,TAP visualized,339,,ambiguous
YBR071W,,tagged,visualized,TAP visualized,1200,,cytoplasm
YBR072W,HSP26,tagged,visualized,TAP visualized,19300,,ambiguous
YBR073W,RDH54,tagged,visualized,TAP visualized,1270,,nucleus
YBR077C,,tagged,visualized,TAP visualized,3490,,vacuolar membrane
YBR079C,RPG1,tagged,visualized,TAP visualized,52700,4350.0,cytoplasm
YBR080C,SEC18,tagged,visualized,TAP visualized,5920,1230.0,"Golgi,early Golgi"
YBR081C,SPT7,tagged,visualized,TAP visualized,2360,,nucleus
YBR082C,UBC4,tagged,visualized,TAP visualized,13500,,"cytoplasm,nucleus"
YBR083W,TEC1,tagged,visualized,TAP visualized,530,,"cytoplasm,nucleus"
YBR084C-A,RPL19A,tagged,visualized,TAP visualized,97700,,cytoplasm
YBR084W,MIS1,tagged,visualized,TAP visualized,11400,,mitochondrion
YBR085C-A,,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YBR085W,AAC3,tagged,visualized,TAP visualized,1080,,mitochondrion
YBR086C,IST2,tagged,visualized,TAP visualized,technical problem,,cell periphery
YBR087W,RFC5,tagged,visualized,TAP visualized,5040,,nucleus
YBR088C,POL30,tagged,visualized,not TAP visualized,not visualized,,nucleus
