yORF,gene name,GFP tagged,GFP visualized?,TAP visualized?,abundance,error,localization summary
YGR092W,DBF2,tagged,visualized,TAP visualized,3500,,"bud neck,cytoplasm"
YGR093W,,tagged,visualized,TAP visualized,1270,,nucleus
YGR094W,VAS1,tagged,visualized,TAP visualized,358,,cytoplasm
YGR095C,RRP46,tagged,visualized,TAP visualized,10800,,"cytoplasm,nucleolus,nucleus"
YGR096W,TPC1,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YGR097W,ASK10,tagged,visualized,TAP visualized,low signal,,cytoplasm
YGR098C,ESP1,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YGR100W,MDR1,tagged,visualized,TAP visualized,768,,cytoplasm
YGR101W,PCP1,tagged,visualized,TAP visualized,technical problem,,mitochondrion
YGR102C,,tagged,visualized,TAP visualized,172,,mitochondrion
YGR103W,NOP7,tagged,visualized,TAP visualized,4530,,"nucleolus,nucleus"
YGR104C,SRB5,tagged,visualized,TAP visualized,1010,,nucleus
YGR105W,VMA21,tagged,visualized,TAP visualized,1480,,vacuole
YGR106C,,tagged,visualized,TAP visualized,12800,,vacuolar membrane
YGR108W,CLB1,tagged,visualized,TAP visualized,300,,nucleus
YGR111W,,tagged,visualized,TAP visualized,768,,"cytoplasm,nucleus"
YGR112W,SHY1,tagged,visualized,TAP visualized,623,,mitochondrion
YGR116W,SPT6,tagged,visualized,TAP visualized,8890,,nucleus
YGR117C,,tagged,visualized,TAP visualized,1280,,cytoplasm
YGR118W,RPS23A,tagged,visualized,TAP visualized,10600,,cytoplasm
YGR119C,NUP57,tagged,visualized,TAP visualized,9310,1120.0,nuclear periphery
YGR120C,COG2,tagged,visualized,TAP visualized,3270,,"Golgi,early Golgi"
YGR121C,MEP1,tagged,visualized,TAP visualized,technical problem,,cell periphery
YGR122W,,tagged,visualized,TAP visualized,technical problem,,cytoplasm
YGR123C,PPT1,tagged,visualized,TAP visualized,6990,,cytoplasm
YGR124W,ASN2,tagged,visualized,TAP visualized,58200,,cytoplasm
YGR125W,,tagged,visualized,TAP visualized,1420,,vacuole
YGR126W,,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YGR128C,UTP8,tagged,visualized,TAP visualized,16800,,nucleolus
YGR129W,SYF2,tagged,visualized,TAP visualized,2460,,nucleus
YGR130C,,tagged,visualized,TAP visualized,10300,,punctate composite
YGR132C,PHB1,tagged,visualized,TAP visualized,9690,,mitochondrion
YGR133W,PEX4,tagged,visualized,TAP visualized,low signal,,peroxisome
YGR134W,CAF130,tagged,visualized,TAP visualized,1320,,cytoplasm
YGR135W,PRE9,tagged,visualized,TAP visualized,17100,,"cytoplasm,nucleus"
YGR136W,LSB1,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YGR138C,TPO2,tagged,visualized,not TAP visualized,not visualized,,cell periphery
YGR140W,CBF2,tagged,visualized,TAP visualized,1350,205.0,"nucleus,spindle pole,microtubule"
YGR142W,BTN2,tagged,visualized,TAP visualized,technical problem,,cytoplasm
YGR147C,NAT2,tagged,visualized,TAP visualized,1240,,mitochondrion
YGR148C,RPL24B,tagged,visualized,TAP visualized,36900,,cytoplasm
YGR149W,,tagged,visualized,TAP visualized,technical problem,,ambiguous
YGR150C,,tagged,visualized,TAP visualized,876,,mitochondrion
YGR151C,,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YGR152C,RSR1,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YGR155W,CYS4,tagged,visualized,TAP visualized,41900,,cytoplasm
YGR156W,PTI1,tagged,visualized,TAP visualized,937,,nucleus
YGR157W,CHO2,tagged,visualized,TAP visualized,1810,,ER
YGR158C,MTR3,tagged,visualized,TAP visualized,7380,,"cytoplasm,nucleus"
YGR159C,NSR1,tagged,visualized,TAP visualized,77400,,nucleolus
YGR161C,RTS3,tagged,visualized,TAP visualized,2100,,"cytoplasm,nucleus"
YGR162W,TIF4631,tagged,visualized,TAP visualized,9760,,cytoplasm
YGR163W,GTR2,tagged,visualized,TAP visualized,2610,,vacuolar membrane
YGR165W,MRPS35,tagged,visualized,TAP visualized,3460,,mitochondrion
YGR166W,KRE11,tagged,visualized,TAP visualized,1660,,punctate composite
YGR167W,CLC1,tagged,visualized,TAP visualized,3490,,late Golgi
YGR171C,MSM1,tagged,visualized,TAP visualized,3120,,mitochondrion
YGR173W,GIR1,tagged,visualized,TAP visualized,6200,,cytoplasm
YGR174C,CBP4,tagged,visualized,TAP visualized,704,,mitochondrion
YGR175C,ERG1,tagged,visualized,TAP visualized,65400,,ER
YGR177C,ATF2,tagged,visualized,TAP visualized,3000,,ER
YGR178C,PBP1,tagged,visualized,TAP visualized,2870,,"cytoplasm,nucleus"
YGR179C,OKP1,tagged,visualized,TAP visualized,2690,,spindle pole
YGR180C,RNR4,tagged,visualized,TAP visualized,88900,,"cytoplasm,nucleus"
YGR183C,QCR9,tagged,visualized,TAP visualized,4550,,mitochondrion
YGR185C,TYS1,tagged,visualized,TAP visualized,2710,305.0,cytoplasm
YGR186W,TFG1,tagged,visualized,TAP visualized,1920,,nucleus
YGR187C,HGH1,tagged,visualized,TAP visualized,20800,,cytoplasm
YGR188C,BUB1,tagged,visualized,TAP visualized,414,,"nucleus,spindle pole,microtubule"
YGR189C,CRH1,tagged,visualized,TAP visualized,29500,,cytoplasm
YGR191W,HIP1,tagged,visualized,TAP visualized,688,,"ER,cell periphery,vacuole,bud"
YGR192C,TDH3,tagged,visualized,TAP visualized,169000,,"cytoplasm,nucleus"
YGR193C,PDX1,tagged,visualized,TAP visualized,414,,mitochondrion
YGR194C,XKS1,tagged,visualized,TAP visualized,3460,,cytoplasm
YGR195W,SKI6,tagged,visualized,TAP visualized,5150,,"nucleolus,nucleus"
YGR198W,,tagged,visualized,TAP visualized,1640,,punctate composite
YGR200C,ELP2,tagged,visualized,TAP visualized,6090,,cytoplasm
YGR202C,PCT1,tagged,visualized,TAP visualized,3050,,nuclear periphery
YGR203W,,tagged,visualized,TAP visualized,2310,,"cytoplasm,nucleus"
YGR204W,ADE3,tagged,visualized,TAP visualized,35600,,"cytoplasm,nucleus"
YGR205W,,tagged,visualized,TAP visualized,4280,,"cytoplasm,nucleus"
YGR206W,,tagged,visualized,TAP visualized,752,,endosome
YGR207C,,tagged,visualized,TAP visualized,2400,,mitochondrion
YGR208W,SER2,tagged,visualized,TAP visualized,13800,,"cytoplasm,nucleus"
YGR209C,TRX2,tagged,visualized,TAP visualized,17200,,"cytoplasm,nucleus"
YGR210C,,tagged,visualized,TAP visualized,11600,,cytoplasm
YGR211W,ZPR1,tagged,visualized,TAP visualized,39900,,"cytoplasm,nucleus"
YGR214W,RPS0A,tagged,visualized,TAP visualized,93700,,cytoplasm
YGR215W,RSM27,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YGR217W,CCH1,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YGR218W,CRM1,tagged,visualized,TAP visualized,7080,,nucleus
YGR219W,,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YGR220C,MRPL9,tagged,visualized,TAP visualized,3190,,mitochondrion
YGR222W,PET54,tagged,visualized,TAP visualized,799,,mitochondrion
YGR229C,SMI1,tagged,visualized,TAP visualized,5680,,"punctate composite,late Golgi"
YGR231C,PHB2,tagged,visualized,TAP visualized,2850,,mitochondrion
YGR232W,NAS6,tagged,visualized,TAP visualized,319,,"cytoplasm,nucleus"
YGR233C,PHO81,tagged,visualized,TAP visualized,2930,,"cytoplasm,nucleus"
YGR234W,YHB1,tagged,visualized,TAP visualized,13000,,cytoplasm
YGR235C,,tagged,visualized,TAP visualized,5220,,mitochondrion
YGR237C,,tagged,visualized,TAP visualized,1050,,cytoplasm
YGR238C,KEL2,tagged,visualized,TAP visualized,468,,"ambiguous,cell periphery,bud"
YGR239C,PEX21,tagged,visualized,not TAP visualized,not visualized,,peroxisome
YGR240C,PFK1,tagged,visualized,TAP visualized,89800,,cytoplasm
YGR241C,YAP1802,tagged,visualized,TAP visualized,6800,,"ambiguous,bud neck,cell periphery,bud"
YGR243W,,tagged,visualized,TAP visualized,6750,,mitochondrion
YGR244C,LSC2,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YGR246C,BRF1,tagged,visualized,TAP visualized,4330,589.0,nucleus
YGR247W,CPD1,tagged,visualized,TAP visualized,1520,,late Golgi
YGR248W,SOL4,tagged,visualized,TAP visualized,4320,,"cytoplasm,nucleus"
YGR250C,,tagged,visualized,TAP visualized,1910,,cytoplasm
YGR251W,,tagged,visualized,TAP visualized,1460,,"nucleolus,nucleus"
YGR252W,GCN5,tagged,visualized,TAP visualized,1180,,nucleus
YGR253C,PUP2,tagged,visualized,TAP visualized,17100,,"cytoplasm,nucleus"
YGR254W,ENO1,tagged,visualized,TAP visualized,76700,,cytoplasm
YGR255C,COQ6,tagged,visualized,TAP visualized,2940,,"mitochondrion,punctate composite"
YGR256W,GND2,tagged,visualized,TAP visualized,556,,ambiguous
YGR257C,MTM1,tagged,visualized,TAP visualized,538,,mitochondrion
YGR258C,RAD2,tagged,visualized,TAP visualized,846,,"cytoplasm,nucleus"
YGR260W,TNA1,tagged,visualized,TAP visualized,technical problem,,ER
YGR261C,APL6,tagged,visualized,TAP visualized,3570,,"punctate composite,Golgi,early Golgi"
YGR262C,BUD32,tagged,visualized,TAP visualized,3020,,"cytoplasm,nucleus"
YGR263C,,tagged,visualized,TAP visualized,technical problem,,ER
YGR264C,MES1,tagged,visualized,TAP visualized,85000,26800.0,cytoplasm
YGR266W,,tagged,visualized,TAP visualized,3230,,ER
YGR267C,FOL2,tagged,visualized,TAP visualized,2840,,"cytoplasm,nucleus"
YGR268C,HUA1,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YGR269W,,tagged,visualized,TAP visualized,279,,"cytoplasm,nucleus"
YGR270W,YTA7,tagged,visualized,TAP visualized,172,,nucleus
YGR271C-A,,tagged,visualized,TAP visualized,2840,,nucleolus
YGR271W,SLH1,tagged,visualized,TAP visualized,486,,cytoplasm
YGR272C,,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YGR274C,TAF1,tagged,visualized,TAP visualized,1500,,nucleus
YGR275W,RTT102,tagged,visualized,TAP visualized,1550,,nucleus
YGR277C,,tagged,visualized,TAP visualized,3610,,cytoplasm
YGR278W,CWC22,tagged,visualized,TAP visualized,3260,,"cytoplasm,nucleus"
YGR279C,SCW4,tagged,visualized,TAP visualized,6190,,vacuole
YGR280C,PXR1,tagged,visualized,TAP visualized,3850,,nucleolus
YGR281W,YOR1,tagged,visualized,TAP visualized,3610,,cell periphery
YGR282C,BGL2,tagged,visualized,TAP visualized,45000,,vacuole
YGR283C,,tagged,visualized,TAP visualized,2820,,nucleolus
YGR284C,ERV29,tagged,visualized,TAP visualized,technical problem,,ER
YGR285C,ZUO1,tagged,visualized,TAP visualized,86400,,cytoplasm
YGR286C,BIO2,tagged,visualized,TAP visualized,504,,mitochondrion
YGR295C,COS6,tagged,visualized,not TAP visualized,not visualized,,vacuole
YHL001W,RPL14B,tagged,visualized,TAP visualized,35100,,cytoplasm
YHL002W,HSE1,tagged,visualized,TAP visualized,358,,endosome
YHL003C,LAG1,tagged,visualized,TAP visualized,technical problem,,ER
YHL004W,MRP4,tagged,visualized,TAP visualized,6890,,mitochondrion
YHL007C,STE20,tagged,visualized,TAP visualized,259,,"cytoplasm,bud"
YHL008C,,tagged,visualized,TAP visualized,low signal,,vacuole
YHL009C,YAP3,tagged,visualized,TAP visualized,1680,,"cytoplasm,nucleus"
YHL011C,PRS3,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YHL013C,,tagged,visualized,TAP visualized,172,,cytoplasm
YHL014C,YLF2,tagged,visualized,TAP visualized,2360,,mitochondrion
YHL017W,,tagged,visualized,TAP visualized,14600,,late Golgi
YHL018W,,tagged,visualized,TAP visualized,752,,mitochondrion
YHL019C,APM2,tagged,visualized,TAP visualized,2890,,"ambiguous,late Golgi"
YHL020C,OPI1,tagged,visualized,TAP visualized,1280,,nuclear periphery
YHL021C,,tagged,visualized,TAP visualized,5800,,mitochondrion
YHL025W,SNF6,tagged,visualized,TAP visualized,2900,,nucleus
YHL026C,,tagged,visualized,TAP visualized,830,,ambiguous
YHL027W,RIM101,tagged,visualized,TAP visualized,1820,,cytoplasm
YHL028W,WSC4,tagged,visualized,TAP visualized,technical problem,,vacuole
YHL029C,,tagged,visualized,TAP visualized,12500,,cytoplasm
YHL030W,ECM29,tagged,visualized,TAP visualized,2950,,"cytoplasm,nucleus"
YHL032C,GUT1,tagged,visualized,not TAP visualized,not visualized,,"mitochondrion,punctate composite"
YHL033C,RPL8A,tagged,visualized,TAP visualized,238000,,cytoplasm
YHL034C,SBP1,tagged,visualized,TAP visualized,12800,,cytoplasm
YHL036W,MUP3,tagged,visualized,not TAP visualized,not visualized,,vacuole
YHL038C,CBP2,tagged,visualized,TAP visualized,1360,,mitochondrion
YHL039W,,tagged,visualized,TAP visualized,5170,,cytoplasm
YHL040C,ARN1,tagged,visualized,TAP visualized,technical problem,,"vacuole,endosome"
YHL048W,COS8,tagged,visualized,TAP visualized,3070,,ambiguous
YHR001W-A,QCR10,tagged,visualized,TAP visualized,5590,,mitochondrion
YHR003C,,tagged,visualized,TAP visualized,8430,,mitochondrion
YHR004C,NEM1,tagged,visualized,TAP visualized,377,,punctate composite
YHR005C,GPA1,tagged,visualized,TAP visualized,9920,,cell periphery
YHR006W,STP2,tagged,visualized,TAP visualized,6490,,"cytoplasm,nucleus"
YHR007C,ERG11,tagged,visualized,TAP visualized,73200,,ER
YHR008C,SOD2,tagged,visualized,TAP visualized,10900,,mitochondrion
YHR009C,,tagged,visualized,TAP visualized,5240,,"cytoplasm,nucleus"
YHR010W,RPL27A,tagged,visualized,TAP visualized,7380,,"cytoplasm,nucleolus"
YHR011W,DIA4,tagged,visualized,TAP visualized,405,,"mitochondrion,punctate composite"
YHR012W,VPS29,tagged,visualized,TAP visualized,259,,ambiguous
YHR013C,ARD1,tagged,visualized,TAP visualized,3310,,cytoplasm
YHR015W,MIP6,tagged,visualized,TAP visualized,98.9,,cytoplasm
YHR018C,ARG4,tagged,visualized,TAP visualized,10200,,cytoplasm
YHR021C,RPS27B,tagged,visualized,TAP visualized,technical problem,,cytoplasm
YHR023W,MYO1,tagged,visualized,TAP visualized,2140,,bud neck
YHR024C,MAS2,tagged,visualized,TAP visualized,31400,2460.0,mitochondrion
YHR025W,THR1,tagged,visualized,TAP visualized,92600,,ambiguous
YHR026W,PPA1,tagged,visualized,not TAP visualized,not visualized,,"ER,vacuole"
YHR027C,RPN1,tagged,visualized,TAP visualized,306000,,"cytoplasm,nucleus"
YHR030C,SLT2,tagged,visualized,TAP visualized,3230,,"cytoplasm,nucleus"
YHR031C,RRM3,tagged,visualized,TAP visualized,656,,"cytoplasm,nucleus"
YHR034C,,tagged,visualized,TAP visualized,2610,,"cytoplasm,nucleus"
YHR036W,,tagged,visualized,TAP visualized,1280,,ER
YHR037W,PUT2,tagged,visualized,TAP visualized,17200,,mitochondrion
YHR038W,RRF1,tagged,visualized,TAP visualized,1440,,mitochondrion
YHR039C,MSC7,tagged,visualized,TAP visualized,2500,,ER
YHR039C-A,VMA10,tagged,visualized,TAP visualized,2280,,vacuolar membrane
YHR040W,BCD1,tagged,visualized,TAP visualized,2800,,"cytoplasm,nucleus"
YHR041C,SRB2,tagged,visualized,TAP visualized,1720,,"cytoplasm,nucleus"
YHR042W,NCP1,tagged,visualized,TAP visualized,46600,,ER
YHR043C,DOG2,tagged,visualized,TAP visualized,2400,,"cytoplasm,nucleus"
YHR045W,,tagged,visualized,not TAP visualized,not visualized,,ER
YHR046C,INM1,tagged,visualized,TAP visualized,2440,,"cytoplasm,nucleus"
YHR047C,AAP1',tagged,visualized,TAP visualized,77000,,"cytoplasm,nucleus"
YHR049W,FSH1,tagged,visualized,TAP visualized,14600,,"cytoplasm,nucleus"
YHR051W,COX6,tagged,visualized,TAP visualized,12500,,mitochondrion
YHR052W,CIC1,tagged,visualized,TAP visualized,45900,,"nucleolus,nucleus"
YHR053C,CUP1-1,tagged,visualized,TAP visualized,31900,,cytoplasm
YHR055C,CUP1-2,tagged,visualized,TAP visualized,6680,,"cytoplasm,nucleus"
YHR057C,CPR2,tagged,visualized,TAP visualized,339,,ambiguous
YHR058C,MED6,tagged,visualized,TAP visualized,4820,,"cytoplasm,nucleus"
YHR059W,FYV4,tagged,visualized,TAP visualized,2630,,mitochondrion
YHR060W,VMA22,tagged,visualized,TAP visualized,752,,ER
YHR061C,GIC1,tagged,visualized,TAP visualized,1100,,"cytoplasm,nucleus"
YHR062C,RPP1,tagged,visualized,TAP visualized,6300,,nucleus
YHR063C,PAN5,tagged,visualized,TAP visualized,2600,,cytoplasm
YHR064C,SSZ1,tagged,visualized,TAP visualized,73600,,cytoplasm
YHR066W,SSF1,tagged,visualized,TAP visualized,8150,,"nucleolus,nucleus"
YHR067W,RMD12,tagged,visualized,TAP visualized,799,,mitochondrion
YHR068W,DYS1,tagged,visualized,TAP visualized,7600,,cytoplasm
YHR069C,RRP4,tagged,visualized,TAP visualized,4840,388.0,"cytoplasm,nucleolus,nucleus"
YHR070W,TRM5,tagged,visualized,TAP visualized,4120,,"cytoplasm,nucleus"
YHR072W,ERG7,tagged,visualized,TAP visualized,2190,,lipid particle
YHR072W-A,NOP10,tagged,visualized,not TAP visualized,not visualized,,nucleolus
YHR073W,OSH3,tagged,visualized,TAP visualized,589,,ambiguous
YHR074W,QNS1,tagged,visualized,TAP visualized,172,,"cytoplasm,nucleus"
YHR077C,NMD2,tagged,visualized,TAP visualized,1280,,cytoplasm
YHR079C,IRE1,tagged,visualized,TAP visualized,259,,ER
YHR082C,KSP1,tagged,visualized,TAP visualized,1270,,cytoplasm
YHR083W,,tagged,visualized,TAP visualized,1470,,mitochondrion
YHR084W,STE12,tagged,visualized,TAP visualized,1920,,nucleus
YHR085W,IPI1,tagged,visualized,TAP visualized,4420,,nucleus
YHR086W,NAM8,tagged,visualized,TAP visualized,1480,,"cytoplasm,nucleus"
YHR087W,,tagged,visualized,TAP visualized,2430,,"cytoplasm,nucleus"
YHR089C,GAR1,tagged,visualized,TAP visualized,5730,,nucleolus
YHR090C,YNG2,tagged,visualized,TAP visualized,low signal,,nucleus
YHR097C,,tagged,visualized,TAP visualized,technical problem,,"cytoplasm,nucleus"
YHR098C,SFB3,tagged,visualized,TAP visualized,12200,,ER to Golgi
YHR101C,BIG1,tagged,visualized,TAP visualized,3460,,ER
YHR102W,KIC1,tagged,visualized,TAP visualized,1040,,cytoplasm
YHR103W,SBE22,tagged,visualized,TAP visualized,low signal,,cytoplasm
YHR104W,GRE3,tagged,visualized,TAP visualized,12900,,"cytoplasm,nucleus"
YHR105W,YPT35,tagged,visualized,not TAP visualized,not visualized,,endosome
YHR106W,TRR2,tagged,visualized,TAP visualized,414,,mitochondrion
YHR107C,CDC12,tagged,visualized,TAP visualized,1170,,"bud neck,cell periphery"
YHR108W,GGA2,tagged,visualized,TAP visualized,2270,,late Golgi
YHR110W,ERP5,tagged,visualized,TAP visualized,low signal,,ER
YHR111W,UBA4,tagged,visualized,TAP visualized,2620,,cytoplasm
YHR112C,,tagged,visualized,TAP visualized,1360,,cytoplasm
YHR113W,,tagged,visualized,TAP visualized,172,,cytoplasm
YHR114W,BZZ1,tagged,visualized,TAP visualized,5440,,actin
YHR115C,,tagged,visualized,TAP visualized,2790,,ambiguous
YHR116W,,tagged,visualized,TAP visualized,1360,,cytoplasm
YHR117W,TOM71,tagged,visualized,TAP visualized,4110,,mitochondrion
YHR118C,ORC6,tagged,visualized,TAP visualized,2970,143.0,"cytoplasm,nucleus"
YHR119W,SET1,tagged,visualized,TAP visualized,172,,"ambiguous,nucleus"
YHR120W,MSH1,tagged,visualized,TAP visualized,1670,,mitochondrion
YHR121W,,tagged,visualized,TAP visualized,8320,,"cytoplasm,nucleus"
YHR122W,,tagged,visualized,TAP visualized,1800,,cytoplasm
YHR123W,EPT1,tagged,visualized,TAP visualized,technical problem,,"punctate composite,Golgi"
YHR127W,HSN1,tagged,visualized,TAP visualized,2140,,nucleus
YHR129C,ARP1,tagged,visualized,TAP visualized,1580,,ambiguous
YHR131C,,tagged,visualized,TAP visualized,172,,cytoplasm
YHR132C,ECM14,tagged,visualized,TAP visualized,468,,vacuole
YHR132W-A,,tagged,visualized,TAP visualized,1400,,"cytoplasm,nucleus"
YHR133C,YIG1,tagged,visualized,TAP visualized,1900,,nuclear periphery
YHR135C,YCK1,tagged,visualized,TAP visualized,1630,,"cytoplasm,nucleus"
YHR136C,SPL2,tagged,visualized,TAP visualized,2180,,punctate composite
YHR137W,ARO9,tagged,visualized,TAP visualized,7700,,"cytoplasm,nucleus"
YHR138C,,tagged,visualized,TAP visualized,319,,ambiguous
YHR140W,,tagged,visualized,TAP visualized,technical problem,,vacuole
YHR141C,RPL42B,tagged,visualized,TAP visualized,3890,,cytoplasm
YHR142W,CHS7,tagged,visualized,not TAP visualized,not visualized,,"ambiguous,bud neck,cytoplasm,vacuole,bud"
YHR143W-A,RPC10,tagged,visualized,TAP visualized,907,,"cytoplasm,nucleolus"
YHR144C,DCD1,tagged,visualized,TAP visualized,1510,,cytoplasm
YHR146W,CRP1,tagged,visualized,TAP visualized,2990,,cell periphery
YHR147C,MRPL6,tagged,visualized,TAP visualized,5680,,cell periphery
YHR149C,,tagged,visualized,TAP visualized,1550,,"bud neck,cytoplasm,cell periphery,bud"
YHR152W,SPO12,tagged,visualized,TAP visualized,937,,nucleus
YHR154W,RTT107,tagged,visualized,TAP visualized,1380,,nucleus
YHR155W,,tagged,visualized,TAP visualized,1170,,mitochondrion
YHR156C,LIN1,tagged,visualized,TAP visualized,799,,nucleus
YHR158C,KEL1,tagged,visualized,TAP visualized,1350,,"ambiguous,bud neck,cell periphery,bud"
YHR159W,,tagged,visualized,TAP visualized,504,,cytoplasm
YHR161C,YAP1801,tagged,visualized,TAP visualized,623,,"ambiguous,bud neck,cell periphery,bud"
YHR162W,,tagged,visualized,TAP visualized,3410,,mitochondrion
YHR163W,SOL3,tagged,visualized,TAP visualized,3420,,"cytoplasm,nucleus"
YHR164C,DNA2,tagged,visualized,TAP visualized,low signal,,nucleus
YHR165C,PRP8,tagged,visualized,TAP visualized,468,,"cytoplasm,nucleus"
YHR166C,CDC23,tagged,visualized,TAP visualized,79.7,10.0,nucleus
YHR167W,THP2,tagged,visualized,TAP visualized,2840,,"cytoplasm,nucleus"
YHR169W,DBP8,tagged,visualized,TAP visualized,3500,,"nucleolus,nucleus"
YHR170W,NMD3,tagged,visualized,TAP visualized,11900,3930.0,cytoplasm
YHR172W,SPC97,tagged,visualized,TAP visualized,2230,371.0,spindle pole
YHR174W,ENO2,tagged,visualized,TAP visualized,2610,,cytoplasm
YHR175W,CTR2,tagged,visualized,TAP visualized,technical problem,,ER
YHR178W,STB5,tagged,visualized,TAP visualized,279,,"cytoplasm,nucleus"
YHR179W,OYE2,tagged,visualized,TAP visualized,15100,,"cytoplasm,nucleus"
YHR181W,SVP26,tagged,visualized,TAP visualized,1810,,ER
YHR182W,,tagged,visualized,TAP visualized,1720,,"cytoplasm,cell periphery"
YHR183W,GND1,tagged,visualized,TAP visualized,101000,,"ambiguous,cytoplasm"
YHR186C,KOG1,tagged,visualized,TAP visualized,low signal,,vacuolar membrane
YHR187W,IKI1,tagged,visualized,TAP visualized,3870,,cytoplasm
YHR189W,PTH1,tagged,visualized,TAP visualized,339,,mitochondrion
YHR190W,ERG9,tagged,visualized,TAP visualized,10800,,ER
YHR192W,,tagged,visualized,TAP visualized,3390,,cytoplasm
YHR193C,EGD2,tagged,visualized,TAP visualized,38000,,cytoplasm
YHR194W,MDM31,tagged,visualized,TAP visualized,1200,,nucleus
YHR195W,NVJ1,tagged,visualized,TAP visualized,1900,,"nucleus,spindle pole"
YHR196W,UTP9,tagged,visualized,TAP visualized,20000,,nucleolus
YHR197W,RIX1,tagged,visualized,TAP visualized,7820,,nucleus
YHR198C,,tagged,visualized,TAP visualized,1350,,mitochondrion
YHR199C,,tagged,visualized,TAP visualized,4420,,mitochondrion
YHR200W,RPN10,tagged,visualized,TAP visualized,17200,,"cytoplasm,nucleus"
YHR201C,PPX1,tagged,visualized,TAP visualized,3170,,"cytoplasm,nucleus"
YHR202W,,tagged,visualized,not TAP visualized,not visualized,,vacuole
YHR203C,RPS4B,tagged,visualized,TAP visualized,102000,,cytoplasm
YHR204W,MNL1,tagged,visualized,TAP visualized,656,,cytoplasm
YHR205W,SCH9,tagged,visualized,TAP visualized,3850,,cytoplasm
YHR206W,SKN7,tagged,visualized,TAP visualized,2570,,nucleus
YHR207C,SET5,tagged,visualized,TAP visualized,5000,,"cytoplasm,nucleus"
YHR215W,PHO12,tagged,visualized,TAP visualized,3290,,vacuole
YHR216W,IMD2,tagged,visualized,TAP visualized,7870,,cytoplasm
YIL001W,,tagged,visualized,TAP visualized,195,,cytoplasm
YIL002C,INP51,tagged,visualized,TAP visualized,98.9,,cytoplasm
YIL004C,BET1,tagged,visualized,TAP visualized,low signal,,ambiguous
YIL005W,EPS1,tagged,visualized,TAP visualized,6020,,vacuole
YIL007C,NAS2,tagged,visualized,TAP visualized,846,,cytoplasm
YIL008W,URM1,tagged,visualized,TAP visualized,1240,,"cytoplasm,nucleus"
YIL009W,FAA3,tagged,visualized,TAP visualized,6440,,cell periphery
YIL010W,DOT5,tagged,visualized,TAP visualized,1840,,nucleus
YIL015W,BAR1,tagged,visualized,TAP visualized,672,,vacuole
YIL016W,SNL1,tagged,visualized,TAP visualized,3350,,ER
YIL017C,VID28,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YIL019W,,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YIL020C,HIS6,tagged,visualized,TAP visualized,6490,,"cytoplasm,nucleus"
YIL021W,RPB3,tagged,visualized,TAP visualized,10000,668.0,nucleus
YIL022W,TIM44,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YIL026C,IRR1,tagged,visualized,TAP visualized,4090,,nucleus
YIL027C,KRE27,tagged,visualized,TAP visualized,5240,,ER
YIL030C,SSM4,tagged,visualized,TAP visualized,technical problem,,ER
YIL031W,ULP2,tagged,visualized,TAP visualized,450,,mitochondrion
YIL033C,BCY1,tagged,visualized,TAP visualized,4280,,"cytoplasm,nucleus"
YIL034C,CAP2,tagged,visualized,TAP visualized,6770,,actin
YIL035C,CKA1,tagged,visualized,TAP visualized,7180,,"cytoplasm,nucleus"
YIL036W,CST6,tagged,visualized,TAP visualized,1240,,nucleus
YIL037C,PRM2,tagged,visualized,not TAP visualized,not visualized,,vacuole
YIL038C,NOT3,tagged,visualized,TAP visualized,2490,,cytoplasm
YIL039W,,tagged,visualized,TAP visualized,1070,,ER
YIL040W,APQ12,tagged,visualized,TAP visualized,low signal,,ER
YIL041W,GVP36,tagged,visualized,TAP visualized,7720,,cytoplasm
YIL042C,,tagged,visualized,TAP visualized,4220,,mitochondrion
YIL043C,CBR1,tagged,visualized,TAP visualized,4820,,ER
YIL044C,AGE2,tagged,visualized,TAP visualized,5350,,late Golgi
YIL045W,PIG2,tagged,visualized,TAP visualized,996,,"cytoplasm,punctate composite"
YIL046W,MET30,tagged,visualized,TAP visualized,217,,"cytoplasm,nucleus"
YIL047C,SYG1,tagged,visualized,TAP visualized,1160,,vacuolar membrane
YIL048W,NEO1,tagged,visualized,TAP visualized,technical problem,,early Golgi
YIL050W,PCL7,tagged,visualized,TAP visualized,3390,,cytoplasm
YIL051C,MMF1,tagged,visualized,TAP visualized,168000,,mitochondrion
