yORF,G1 Post-START,S/G2,Metaphase,Anaphase,Telophase
Q0010,26.36389153405,15.041242734299999,10.30514599364,9.580854707545,12.38089929565
Q0017,35.743394703999996,15.3232226429,8.67321060282,9.95564286314,12.27102277234
Q0032,8.53042809451,4.69363067147,7.61877849281,9.03404959801,10.8435643991
Q0045,398.845414361,382.4512258775,398.85453550550005,499.928036354,509.91976921849994
Q0050,621.7349962975,579.2819896579999,611.9178867190001,744.0432704075,730.948293612
Q0055,460.2175992415,479.8563911535,470.6135700825,546.1829134965,541.3606397364999
Q0060,82.32933173415,77.90763693695,78.74068400350001,90.99832233465,93.9871813393
Q0065,217.208671827,203.25921109749999,253.1966960595,265.646887767,273.9893881735
Q0070,74.2685146308,73.9613418745,79.95646206834999,96.93648023395,93.13972684199999
Q0075,101.38615601975,96.9390618571,106.9843998435,125.8760526995,120.40209599139999
Q0080,174.5055835557,164.6278450675,254.927247254,309.075355117,325.218616279
Q0085,297.740538755,281.13102985,292.21865566049996,390.019484896,391.4851626395
Q0105,395.6355233915,304.0435278805,306.12689160900004,465.685502312,431.093491101
Q0110,103.05900955915001,80.68932357145,85.27893013685,114.5605409065,110.95557754775001
Q0115,57.89951580275,57.7891849313,55.8965751272,70.6883513894,69.3105870516
Q0120,107.13479836754999,97.36373498495,110.49976575650001,124.641128066,130.26343781600002
Q0130,1451.979036555,1229.215677535,1335.606724855,1775.565455073,1600.46601365
Q0140,77.1871499297,75.9474114728,80.9511119446,87.8913140314,91.9508513574
Q0142,7.79067870861,7.01232222642,10.624301260229998,6.834340711275001,8.681247560654999
Q0143,10.81569439504,8.11229434037,16.359219863345,5.123943961975,12.38061334555
Q0160,154.66671438965,147.8127085695,140.24031199535,209.56834808425,150.8714617865
Q0182,397.6317305675,300.925095132,297.03808835205,150.25419552300002,187.9400471705
Q0250,363.7271747815,272.665503235,302.244529726,374.52070382750003,349.757743043
Q0255,67.6868017116,53.789808836999995,55.859802945599995,69.76965567855,55.50502985405
Q0275,281.9464456115,227.4721406795,257.6128113905,307.58143490500004,311.0867953515
YAL001C,13.776203476900001,14.6463071744,12.561410280375,17.76116107885,16.59424867495
YAL002W,5.33521023939,8.660638872645,9.701526406745,12.041907329899999,10.40515230746
YAL003W,3047.6580410799997,3089.925146165,3112.78656261,2738.2067836799997,2640.110624445
YAL005C,2418.153668505,3315.253228595,4156.9478197749995,4376.22692962,3225.789177075
YAL007C,140.44909582949998,124.29844770950001,104.40384915715,100.9110580925,135.496576506
YAL008W,9.701770620415001,10.395151039175,11.338037039749999,18.353056670100003,15.39389224055
YAL009W,12.37401878075,12.56321654125,17.948633405000002,17.59370573005,16.992254835
YAL010C,5.210113170834999,7.2010575853,6.290442559040001,7.606167228635,7.0841452806500005
YAL011W,9.39807472124,10.170370521305,8.85276487482,10.67281740023,9.424925799539999
YAL012W,516.418064042,478.9239496,468.38197254199997,482.6531399545,424.206230882
YAL013W,11.998859817725,12.922382144899998,14.53376802775,21.777348364799998,17.88713320395
YAL014C,26.21266673785,21.6802565699,32.37800525145,35.71390648525,27.8886192813
YAL015C,13.558861829249999,13.4370047373,11.239124254,12.6709238718,9.59416657766
YAL016W,71.83524987404999,76.12034017100001,66.17542379945,76.7168518328,73.3614409868
YAL017W,17.273407714450002,24.205604495,22.568927991099997,24.5559186377,19.768708369949998
YAL019W,59.2823170436,34.171512372799995,36.11417574275,36.729751267,46.772199560299995
YAL020C,10.733366935515,11.02937893662,12.628424333829999,15.0216902568,14.690199829800001
YAL021C,34.44642505665,36.32294800385,38.8282157643,41.17559804095,46.8414595901
YAL022C,34.6050877172,33.37794381615,42.790853596000005,47.42444398625,36.10973687735
YAL023C,223.042631697,200.6352691495,148.9796190295,151.7683625895,214.405985495
YAL024C,17.66851679985,15.177971869899999,10.240798246765,11.5546524782,15.3732895575
YAL025C,20.66305366295,29.2005093614,36.55893127375,31.89957563425,43.12526268175
YAL026C,29.62621617135,25.90087872345,28.30179499335,30.62940590305,35.0869193787
YAL026C-A,13.853443313695,19.5141098398,17.240659621859997,19.48802753135,23.15308283625
YAL027W,3.50916754009,6.7922654074699995,7.81978218412,9.480820158,7.693350259415
YAL028W,6.255375133159999,3.0567148098600003,4.8694585048,5.39798897248,3.64039949951
YAL029C,31.163275377199998,33.7668525281,43.362438794300004,37.08010462715,42.80650121685
YAL030W,41.287663708,41.78362269525,34.91425130295,50.06196114855,55.035586576
YAL031C,6.16037263714,11.94858228385,10.381717101995001,11.8394883199,10.430251946464999
YAL032C,17.1745745485,16.3169244507,19.82331260615,17.0586238798,12.45541865285
YAL033W,35.397985645350005,23.7774144459,20.0186590346,25.684914690950002,18.62976010535
YAL034C,12.213907520385,11.887305183950001,7.77697189279,11.5897177768,8.528482409965
YAL034W-A,7.60722838939,7.1206407035999995,2.9352043215675,5.8361555446699995,14.3306820275
YAL035W,268.899840178,270.856405949,256.771546764,227.29131036,229.5412053465
YAL036C,80.24900111395,86.3765908286,83.80452318505,66.76433891734999,82.25548641495
YAL038W,5808.814664345,5951.789923815,6207.66178429,6362.04960409,6105.329803355
YAL039C,24.511049167049997,27.6681300166,30.97950232905,33.82197899685,18.188663875
YAL040C,19.6169848242,34.27962496305,40.24298997015,57.0867637619,18.7160374931
YAL041W,18.492021903599998,21.859506526849998,21.97052868165,23.612248139899997,21.6560477719
YAL042W,150.92694726899998,143.8807503715,133.363509476,154.664893725,137.11359328449998
YAL043C,35.90292976095,35.1146398295,37.6381931795,35.79114257105,30.14463873955
YAL044C,194.052553407,163.297288463,186.9468637365,192.2376809665,176.80475054
YAL044W-A,63.76246233255,46.84196493645,59.3364940348,52.5343546036,38.4491727726
YAL046C,63.3376601246,42.0542409555,35.705533054,43.829305665250004,44.618431088899996
YAL047C,11.213791313049999,5.91009299913,6.31139266424,7.83177050326,9.0435468168
YAL048C,9.84410822337,9.11238181248,10.165014314635,8.56898602707,10.034447597625
YAL049C,37.59172009015,40.324112057250005,35.136490113,37.0126143415,44.4329834637
YAL051W,11.139926332449999,10.733078010595001,11.148669036255,14.769074524050001,12.933400275225
YAL053W,60.97463468805,43.37096956245,35.550255261749996,45.287113667,68.92199780395
YAL054C,6.437675683585,4.167437190905,3.2012226793250003,3.8511253711099998,3.006365868885
YAL055W,4.5709929131300004,4.56148837758,6.6164291656700005,8.87355051116,5.929682956855
