yORF,G1 Post-START,S/G2,Metaphase,Anaphase,Telophase
YDR021W,1.1809463465549999,1.642120110975,1.3688090093805,0.9469939209545,1.2412236242649999
YDR022C,1.419164348905,1.33163663735,0.8734490243505,0.8750053896059999,1.8035622754
YDR023W,1.954943833765,2.016718371035,1.897740832165,1.87786518169,1.831443281475
YDR025W,1.8275856360850002,1.57259478262,1.66660692416,1.2921699372900002,1.6347690042199998
YDR026C,1.12257705842,0.956209696672,0.833860570978,0.7137926166385,0.6784524820860001
YDR027C,0.6960727339965,0.7593799106529999,0.6988177512055,0.5220546890594999,0.4240858720085
YDR028C,1.1165391475250002,1.080108055618,1.11420510193,0.9658756300514999,1.077174432769
YDR032C,2.90104754128,2.36513246537,2.54735804197,2.4206982452399997,2.557862212545
YDR033W,0.6628974052725001,1.14754833713,1.3037296945899999,1.223492707907,1.2521639380849998
YDR034C,0.23927429175749998,0.223009691553,0.2624190085075,0.1959476819175,0.2105380371445
YDR034C-D,0.009736698098575,0.003841655266805,0.00287233272258,0.0023162990427200002,0.0025466887253499998
YDR034C-C,0.055615592094049995,0.0196777991759,0.01378908193665,0.01253176037832,0.01229752951725
YDR034C-A,0.272655712871,0.31227565070950003,0.219520060151,0.14358047768655,0.137039893157
YDR035W,1.4967811848350001,1.4794041076450002,1.38229472864,1.52153181132,1.38217891316
YDR036C,1.394192785775,1.381852216605,1.3247811715450002,1.0723381245230001,1.330518463175
YDR037W,1.41596012867,1.39422065242,1.33574601869,1.37947910416,1.4414323854850002
YDR038C,0.2287925610555,0.2061586380945,0.186224102246,0.20763181028549998,0.17547319212399998
YDR039C,0.2244300370655,0.2137017618175,0.18508622597399998,0.20738398455,0.176607275203
YDR040C,0.267468378206,0.228345384061,0.21074577237050002,0.229144030881,0.186929789242
YDR041W,1.127247541786,2.99575948425,1.33155576682,1.1695906630300001,1.48140529126
YDR043C,1.96600582979,3.4147656941699998,3.5830260241299996,1.267883919975,1.5410857931850002
YDR044W,1.593008565165,1.6664659879450001,1.583191155455,1.56758661809,1.43074036472
YDR045C,2.46835465158,2.420620508035,1.874451607605,2.0451561992,2.016596883115
YDR046C,1.30325783819,1.1337660448345002,0.842121584099,0.8248788197175,0.8416119730685
YDR047W,1.9334555947999998,1.615909006775,1.248512592285,1.346369335775,1.151403945695
YDR049W,1.61723431279,1.1436472373235,1.037429034698,1.062090474609,1.0642485353995
YDR050C,1.313209695265,1.45273947487,1.5026933254450001,1.654187935055,1.6082074940500002
YDR051C,1.66576945326,1.420467752575,1.6804138708899998,1.16711032195,1.4860786746049999
YDR052C,1.123231734665,0.8013812231540001,0.7605774432175,0.816017854962,0.8205174189315
YDR054C,1.36056445956,1.309115464525,1.321628109375,1.430192500355,1.248109109725
YDR055W,1.3816350035590002,0.9627599239555,1.677654316405,1.561364951755,1.688017812595
YDR056C,1.7606300669000001,1.626157891265,1.36244703295,1.30600437305,1.1192543510705
YDR057W,1.0125085500205,1.2354733524050001,0.791080773374,0.9375178169959999,0.7873730081545001
YDR059C,2.16965188184,1.35077993805,1.771337452695,1.55357274706,1.3362602354400002
YDR060W,1.2494635557799998,1.13441329664,1.0839291229549999,1.082685220965,1.0371247330650002
YDR061W,0.5212075157675,0.7609112214095,0.5284096974425,0.6346448291794999,0.7187685126885
YDR062W,0.894287859729,0.9526973766915,0.7224511340190001,0.8447531557254999,0.8486978997545
YDR063W,2.311153505245,1.7765017569200001,2.128191508135,1.77517144845,2.8618464918499997
YDR064W,1.892693442955,1.8008999294399999,1.713084834415,1.62601432643,1.96440848395
YDR067C,0.6491023248965,0.706068253798,0.5962671249445,0.673985638544,0.638797702575
YDR068W,1.72157462376,1.62971866463,1.642360909665,1.820246261575,1.700294945045
YDR069C,0.749085545741,0.5739208988285001,0.5920370913555,0.513175306695,0.607935175872
YDR071C,3.094384134755,2.254255684055,2.0993324483249998,1.885223238715,2.44501793612
YDR072C,0.6654350329900001,0.611202773029,0.6311716315835,0.55659613285,0.5824633774195
